URL: /
Timestamp: Sat Nov 23 2024 11:46:38 GMT-0700 (Mountain Standard Time)

::1 - - [03/Dec/2024:02:58:08 +0000] "GET / HTTP/1.1" 200 35
::1 - - [03/Dec/2024:02:58:08 +0000] "GET /favicon.ico HTTP/1.1" 404 150
::1 - - [03/Dec/2024:02:58:49 +0000] "GET /documentation HTTP/1.1" 404 152
::1 - - [03/Dec/2024:02:59:36 +0000] "GET / HTTP/1.1" 304 -
::1 - - [03/Dec/2024:02:59:38 +0000] "GET /movies HTTP/1.1" 200 480
::1 - - [03/Dec/2024:03:00:18 +0000] "GET /movies HTTP/1.1" 304 -
::1 - - [03/Dec/2024:03:00:18 +0000] "GET / HTTP/1.1" 304 -
::1 - - [03/Dec/2024:03:00:25 +0000] "GET /documentation.html HTTP/1.1" 200 -
::1 - - [03/Dec/2024:03:05:06 +0000] "GET /documentation.html HTTP/1.1" 304 -
::1 - - [03/Dec/2024:03:05:12 +0000] "GET /documentation.html HTTP/1.1" 304 -
::1 - - [03/Dec/2024:03:05:13 +0000] "GET /documentation HTTP/1.1" 404 152
::1 - - [04/Dec/2024:19:12:03 +0000] "GET / HTTP/1.1" 304 -
::1 - - [04/Dec/2024:19:12:03 +0000] "GET /favicon.ico HTTP/1.1" 404 150
::1 - - [04/Dec/2024:19:12:11 +0000] "GET / HTTP/1.1" 304 -
::1 - - [04/Dec/2024:19:12:12 +0000] "GET /movies HTTP/1.1" 304 -
::1 - - [04/Dec/2024:19:14:21 +0000] "GET /movies HTTP/1.1" 304 -
::1 - - [04/Dec/2024:19:14:24 +0000] "GET /movies HTTP/1.1" 200 480
::1 - - [04/Dec/2024:19:16:09 +0000] "GET /movies HTTP/1.1" 200 480
::1 - - [04/Dec/2024:19:17:00 +0000] "GET /movies HTTP/1.1" 200 700
::1 - - [05/Dec/2024:00:44:17 +0000] "GET /students/ HTTP/1.1" 404 148
::1 - - [05/Dec/2024:00:44:27 +0000] "GET /movies/ HTTP/1.1" 200 4623
::1 - - [05/Dec/2024:00:44:49 +0000] "GET /movies/movie-titles HTTP/1.1" 200 -
::1 - - [05/Dec/2024:00:46:30 +0000] "GET /movies/ HTTP/1.1" 200 4623
::1 - - [05/Dec/2024:00:46:37 +0000] "GET /movies-titles HTTP/1.1" 404 152
::1 - - [05/Dec/2024:00:46:45 +0000] "GET /movie-titles HTTP/1.1" 200 -
::1 - - [05/Dec/2024:02:18:10 +0000] "GET /movies/Cars HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:20:30 +0000] "GET /movies/Cars HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:22:07 +0000] "GET /movies/Cars HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:23:06 +0000] "GET /movies/Cars HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:23:12 +0000] "GET /movies/cars HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:23:17 +0000] "GET /movies/godzilla HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:27:12 +0000] "GET /movies/godzilla HTTP/1.1" 404 34
::1 - - [05/Dec/2024:02:27:22 +0000] "GET /movies/Cars HTTP/1.1" 200 415
